,trialId,endTime,simId,root,counts
28,0,4000000,ring_2d_7,0.0,"[224131, 97652, 362661, 114313, 359533, 154962, 87560, 166765, 265215, 79185, 409784, 117611, 321745, 38018, 316287, 199695, 180211, 52220, 89201, 81632, 281640]"
29,0,4000000,ring_2d_8,0.0,"[170898, 103481, 192056, 120748, 202438, 229230, 119952, 317928, 75645, 223533, 67443, 242120, 96490, 308753, 57310, 391702, 42980, 208358, 206893, 188470, 166297, 83405, 145140, 38754]"
30,0,4000000,ring_2d_9,0.0,"[79677, 224912, 113783, 121437, 133789, 108491, 226176, 85881, 219376, 192336, 118928, 211383, 30757, 196133, 87212, 188613, 178227, 107678, 146471, 133266, 113202, 205988, 202914, 182062, 140079, 106989, 144267]"
31,0,4000000,ring_2d_10,0.0,"[197587, 54272, 181094, 143377, 62234, 109828, 71585, 257748, 115410, 9157, 218541, 15800, 192733, 165223, 4583, 154039, 27751, 279766, 112642, 2850, 186140, 157451, 176333, 60636, 211468, 235910, 216375, 87463, 9076, 282958]"
32,0,5000000,ring_2d_3,0.0,"[859454, 720300, 432253, 864522, 736843, 409069, 382695, 80858, 514015]"
33,0,5000000,ring_2d_4,0.0,"[150882, 869421, 164678, 347086, 164169, 848579, 189738, 329565, 752329, 247637, 200809, 735119]"
34,0,5000000,ring_2d_5,0.0,"[303942, 413616, 363726, 449782, 307530, 179704, 477461, 372561, 385188, 417492, 390367, 312638, 190343, 208652, 227013]"
35,0,5000000,ring_2d_6,0.0,"[89454, 283295, 433331, 88439, 238270, 295611, 992, 433562, 251655, 269302, 93717, 410577, 437136, 434287, 127528, 310824, 489005, 313033]"
36,0,5000000,ring_2d_7,0.0,"[280542, 121813, 451482, 144140, 448407, 194766, 109392, 208592, 330923, 100715, 511376, 147297, 402016, 47668, 395553, 249418, 224780, 66310, 110912, 102686, 351233]"
37,0,5000000,ring_2d_8,0.0,"[213107, 129946, 240268, 151207, 252908, 285509, 151156, 397069, 94187, 278797, 84391, 302635, 120955, 386183, 71418, 490198, 53323, 260847, 258284, 235577, 208037, 104122, 181236, 48664]"
38,0,5000000,ring_2d_9,0.0,"[99536, 280995, 142159, 151289, 167351, 135257, 282499, 107865, 273780, 240239, 148751, 263928, 38509, 244799, 109341, 236147, 222083, 135100, 182859, 166920, 141398, 257557, 253890, 228035, 175318, 134008, 180414]"
39,0,5000000,ring_2d_10,0.0,"[246764, 67598, 226831, 179053, 77183, 136698, 89418, 322611, 144574, 11440, 273390, 19900, 240917, 206664, 5850, 192955, 34780, 349680, 140894, 3541, 232736, 196674, 220468, 75719, 264812, 294517, 270723, 108968, 11312, 353360]"
40,0,6000000,ring_2d_3,0.0,"[1031347, 864310, 518455, 1037379, 884175, 490847, 459035, 97153, 617308]"
41,0,6000000,ring_2d_4,0.0,"[180630, 1043856, 197843, 416481, 196953, 1018103, 227753, 395120, 903344, 296695, 241441, 881793]"
42,0,6000000,ring_2d_5,0.0,"[363981, 496686, 436547, 539170, 369446, 216354, 572403, 447222, 462229, 500631, 468678, 375268, 228198, 250653, 272549]"
43,0,6000000,ring_2d_6,0.0,"[107522, 340101, 519269, 106498, 286231, 354998, 1192, 519485, 302736, 322349, 112521, 492463, 524620, 520770, 153261, 373364, 586471, 376167]"
44,0,6000000,ring_2d_7,0.0,"[336595, 146063, 540548, 174605, 536834, 234834, 131442, 250643, 396959, 122967, 612453, 177324, 481665, 57266, 474706, 299479, 269015, 80387, 132151, 123808, 420277]"
45,0,6000000,ring_2d_8,0.0,"[255161, 156251, 288269, 181750, 303415, 342133, 182535, 475957, 112729, 333698, 101338, 362985, 145309, 463646, 85744, 588445, 63330, 313885, 310036, 282830, 249487, 125091, 217179, 58821]"
46,0,6000000,ring_2d_9,0.0,"[119470, 337304, 170555, 180933, 201116, 161963, 338541, 130242, 328200, 288327, 178580, 316470, 46303, 293670, 131353, 283517, 265870, 162448, 219268, 200651, 169455, 308889, 304991, 273682, 210588, 160657, 216984]"
47,0,6000000,ring_2d_10,0.0,"[295784, 80712, 272622, 214801, 92293, 163766, 107084, 387428, 173891, 13663, 328119, 24091, 289266, 248036, 7079, 231863, 41857, 419900, 169439, 4222, 279305, 235721, 264702, 90562, 318184, 352814, 325159, 130722, 13646, 423299]"
48,0,7000000,ring_2d_3,0.0,"[1202654, 1008980, 605206, 1209363, 1030850, 573034, 535764, 113418, 720740]"
49,0,7000000,ring_2d_4,0.0,"[210389, 1217902, 230643, 485572, 229676, 1188315, 265779, 460802, 1054301, 345551, 281954, 1029128]"
50,0,7000000,ring_2d_5,0.0,"[423579, 579506, 509955, 628731, 431437, 253140, 667442, 521234, 539596, 583358, 547068, 437869, 266415, 292741, 317944]"
51,0,7000000,ring_2d_6,0.0,"[125827, 397091, 605479, 124417, 334053, 414111, 1379, 605557, 353934, 375919, 131314, 574225, 611558, 607098, 178766, 435698, 684642, 438950]"
52,0,7000000,ring_2d_7,0.0,"[392329, 170429, 629125, 205209, 625053, 274893, 153186, 292519, 462871, 145003, 713323, 207282, 561521, 66694, 553744, 349432, 313872, 94720, 153487, 145103, 490226]"
53,0,7000000,ring_2d_8,0.0,"[297493, 182383, 335949, 212164, 353626, 398631, 214136, 554813, 131389, 389206, 118501, 423342, 169552, 540783, 100213, 686198, 73388, 366571, 361569, 330084, 291502, 146005, 253440, 69086]"
54,0,7000000,ring_2d_9,0.0,"[139604, 393187, 199042, 210546, 234715, 189145, 394725, 152763, 382988, 336127, 208246, 369434, 54024, 342116, 153881, 330718, 309773, 189904, 255717, 233848, 197537, 360425, 355803, 319048, 245504, 187327, 253880]"
55,0,7000000,ring_2d_10,0.0,"[344820, 93612, 318302, 250729, 107209, 191250, 124390, 451935, 203268, 15868, 382841, 28178, 337608, 289208, 8249, 270740, 48893, 490394, 197931, 4919, 325672, 275470, 308947, 105648, 371139, 411624, 379879, 151975, 16009, 493323]"
56,0,8000000,ring_2d_3,0.0,"[1375265, 1153473, 690930, 1381539, 1177639, 655186, 612915, 129594, 823468]"
57,0,8000000,ring_2d_4,0.0,"[240215, 1391418, 264051, 554979, 262085, 1358105, 303605, 526559, 1205258, 394294, 323033, 1176410]"
58,0,8000000,ring_2d_5,0.0,"[483124, 662523, 583087, 718344, 493756, 290583, 762851, 595193, 617279, 665792, 625166, 500542, 304350, 334691, 362734]"
59,0,8000000,ring_2d_6,0.0,"[144471, 454322, 691164, 142457, 382025, 473343, 1594, 691202, 405363, 429007, 150001, 656188, 699183, 693053, 204350, 498215, 782480, 501600]"
60,0,8000000,ring_2d_7,0.0,"[448845, 194484, 717614, 235892, 712849, 315001, 175126, 334661, 528660, 167227, 814432, 237431, 641434, 76218, 632980, 399208, 358351, 108836, 174824, 166301, 559647]"
61,0,8000000,ring_2d_8,0.0,"[339367, 209014, 383595, 242505, 404178, 455138, 245819, 633585, 150110, 444515, 135157, 483768, 193841, 618063, 114535, 784909, 83388, 419438, 413433, 376963, 333235, 166637, 289430, 79401]"
62,0,8000000,ring_2d_9,0.0,"[159663, 449504, 227418, 240321, 268454, 216091, 451480, 175056, 437372, 383823, 237771, 422140, 61828, 390954, 176028, 378311, 352941, 217589, 292059, 267657, 225493, 411817, 406635, 364422, 280610, 214115, 290475]"
63,0,8000000,ring_2d_10,0.0,"[393910, 106610, 364166, 286759, 121984, 218411, 141819, 516747, 232813, 18074, 437266, 32356, 385444, 330609, 9501, 309801, 55997, 560705, 226188, 5630, 372261, 314771, 353529, 120532, 424444, 470739, 434425, 173063, 18344, 563132]"
64,0,9000000,ring_2d_3,0.0,"[1546741, 1298017, 776815, 1554469, 1324579, 737730, 689289, 145636, 926733]"
65,0,9000000,ring_2d_4,0.0,"[270277, 1565706, 297187, 624420, 294921, 1527920, 341692, 592486, 1356008, 442843, 363667, 1322885]"
66,0,9000000,ring_2d_5,0.0,"[542979, 745533, 656604, 807503, 555788, 327722, 857747, 669402, 694518, 748460, 704067, 563029, 342167, 376954, 407542]"
67,0,9000000,ring_2d_6,0.0,"[163249, 511273, 777005, 160564, 430101, 532306, 1774, 777553, 456667, 482324, 168538, 737928, 786250, 779401, 230141, 560123, 880479, 564342]"
68,0,9000000,ring_2d_7,0.0,"[505633, 218798, 806197, 267160, 800757, 355003, 196934, 376214, 594525, 189542, 914582, 267445, 721033, 85690, 712481, 449024, 402603, 123394, 196133, 187518, 629355]"
69,0,9000000,ring_2d_8,0.0,"[381220, 235602, 431955, 273319, 454161, 511327, 277238, 712240, 168530, 499863, 152098, 544296, 218220, 695551, 128770, 882828, 93435, 472401, 465041, 424067, 375362, 187535, 325219, 89746]"
70,0,9000000,ring_2d_9,0.0,"[179734, 505822, 255432, 270238, 302500, 242885, 507308, 197446, 491586, 431588, 267641, 474345, 69631, 439113, 198162, 425967, 396762, 245053, 328390, 301427, 253689, 463196, 457911, 410311, 315785, 241251, 326854]"
71,0,9000000,ring_2d_10,0.0,"[443024, 119752, 409633, 322667, 137077, 245708, 159186, 581076, 262237, 20328, 492178, 36512, 433446, 372026, 10678, 348929, 63118, 630824, 254662, 6342, 419085, 354005, 397889, 135548, 477527, 529424, 489170, 194412, 20631, 632936]"
72,0,10000000,ring_2d_3,0.0,"[1718827, 1442549, 863031, 1727015, 1471300, 820328, 765640, 161637, 1029682]"
73,0,10000000,ring_2d_5,0.0,"[602369, 828435, 729755, 897288, 618175, 364848, 953017, 743433, 771948, 830577, 782737, 625626, 380408, 419120, 452279]"
74,0,10000000,ring_2d_4,0.0,"[300160, 1740192, 330425, 693896, 327894, 1697662, 379722, 658262, 1506925, 491292, 404425, 1469157]"
75,0,10000000,ring_2d_7,0.0,"[561945, 242669, 894724, 298252, 888486, 395661, 218823, 418131, 660035, 211957, 1015194, 297736, 800747, 95083, 791556, 498709, 446989, 138161, 217322, 208887, 698954]"
76,0,10000000,ring_2d_6,0.0,"[181694, 568856, 862831, 178421, 477973, 591988, 1952, 863442, 508325, 535313, 187212, 820311, 873145, 865241, 255772, 622374, 978275, 626893]"
77,0,10000000,ring_2d_8,0.0,"[423272, 261799, 479901, 303840, 504832, 567730, 309007, 790800, 186738, 555379, 169327, 604138, 242603, 772766, 143209, 981374, 103371, 525391, 516598, 471141, 416692, 208698, 361410, 100008]"
78,0,10000000,ring_2d_9,0.0,"[199644, 561884, 283628, 300138, 336440, 269921, 563723, 220076, 545757, 479322, 297395, 526758, 77398, 487816, 220239, 473535, 440044, 272721, 364830, 335038, 281562, 514973, 508949, 455877, 350824, 268241, 363294]"
79,0,10000000,ring_2d_10,0.0,"[492394, 132722, 455225, 358421, 151836, 273101, 176298, 645555, 291755, 22615, 546879, 40769, 481356, 413441, 11841, 388147, 70172, 701307, 282731, 7029, 465627, 393601, 442439, 150258, 530930, 587898, 543979, 215705, 22859, 703140]"
